model,step,threshold_rounded_mean,selected_as_threshold,width_mean,width_median,width_q1,width_q3,width_min,width_max,width_stddev,total_mape_start_states,contributing_start_states,contributing_fraction
30,7,18,1,17.807692307692307,18.0,18.0,18.0,16,18,0.48192169562083337,65,52,0.8
30,8,18,0,17.98,18.0,18.0,18.0,17,18,0.13999999999999999,65,50,0.7692307692307693
30,9,18,0,18.0,18.0,18.0,18.0,18,18,0.0,65,46,0.7076923076923077
30,10,18,0,18.0,18.0,18.0,18.0,18,18,0.0,65,42,0.6461538461538462
31,1,5,1,5.3478260869565215,6,5.0,6.0,3,6,0.8310302137293595,69,69,1.0
31,2,10,1,9.91044776119403,10,9.0,11.0,6,12,1.463295639256853,69,67,0.9710144927536232
31,3,13,1,13.333333333333334,14.0,12.0,15.0,9,16,1.626795821996309,69,66,0.9565217391304348
31,4,16,1,15.676923076923076,16,15.0,17.0,12,18,1.479164965135005,69,65,0.9420289855072463
31,5,17,1,17.142857142857142,17,16.0,18.0,15,18,0.989743318610787,69,63,0.9130434782608695
31,6,18,1,17.833333333333332,18.0,18.0,18.0,16,18,0.4149966532662911,69,60,0.8695652173913043
31,7,18,0,18.0,18.0,18.0,18.0,18,18,0.0,69,56,0.8115942028985508
31,8,18,0,18.0,18,18.0,18.0,18,18,0.0,69,53,0.7681159420289855
31,9,18,0,18.0,18,18.0,18.0,18,18,0.0,69,49,0.7101449275362319
31,10,18,0,18.0,18.0,18.0,18.0,18,18,0.0,69,42,0.6086956521739131
32,1,5,1,5.144736842105263,5.0,5.0,6.0,3,6,0.8988874317501879,76,76,1.0
32,2,10,1,9.64864864864865,10.0,9.0,11.0,6,12,1.6475406112570996,76,74,0.9736842105263158
32,3,13,1,13.097222222222221,13.0,12.0,14.25,9,17,2.0491171691339436,76,72,0.9473684210526315
32,4,15,1,15.367647058823529,15.0,14.0,17.0,12,18,1.7141659931007598,76,68,0.8947368421052632
32,5,17,1,16.681818181818183,17.0,16.0,18.0,14,18,1.3160902947411495,76,66,0.868421052631579
32,6,17,0,17.46031746031746,18,17.0,18.0,15,18,0.8323879747382156,76,63,0.8289473684210527
32,7,18,1,17.883333333333333,18.0,18.0,18.0,16,18,0.36930866343600566,76,60,0.7894736842105263
32,8,18,0,18.0,18.0,18.0,18.0,18,18,0.0,76,52,0.6842105263157895
32,9,18,0,18.0,18.0,18.0,18.0,18,18,0.0,76,48,0.631578947368421
32,10,18,0,18.0,18,18.0,18.0,18,18,0.0,76,43,0.5657894736842105
33,1,5,1,5.2375,5.0,5.0,6.0,3,6,0.8402938474129155,80,80,1.0
33,2,10,1,9.632911392405063,10,8.0,11.0,6,12,1.7075944675380088,80,79,0.9875
