h,map,raw_atom_count,mean_frobenius_error,rmse_frobenius_error,max_frobenius_error,gvars,gstates,extra_gstates,split_gvars,max_gstates_per_gvar,lookup_transitions
0.025,52,626,0.01084185634776377,0.012189876908383168,0.021242410409367408,198,204,6,6,2,543
0.025,53,677,0.010382348807358159,0.011749683046732379,0.023255321971540226,225,228,3,3,2,582
0.025,54,739,0.010371661348993803,0.011722840664024216,0.02211877030940015,207,215,8,8,2,586
0.025,55,673,0.011116239456871308,0.01243703308575746,0.021496976531596282,236,246,10,10,2,542
0.025,56,514,0.011250959254272722,0.012725223886329011,0.02149697653159629,191,199,8,8,2,386
0.025,57,705,0.01022711912067165,0.011532085366827684,0.0214580987042189,205,211,6,6,2,566
0.025,58,652,0.011215315725666884,0.012547054991393594,0.021458098704218893,225,227,2,2,2,557
0.025,59,624,0.011371760356010426,0.012686161196257744,0.02248354954183177,241,242,1,1,2,529
0.025,60,711,0.010231320325860674,0.011561758586105107,0.022118770309400123,172,177,5,5,2,546
0.025,61,666,0.011211756089371873,0.012492150087707621,0.023255321971540205,242,245,3,3,2,577
0.025,62,691,0.010665408334082162,0.01200440283435836,0.0212424104093674,213,214,1,1,2,569
0.025,63,638,0.011293219737484256,0.012644669413503949,0.022483549541831745,227,227,0,0,1,528
0.025,64,573,0.011311884488222006,0.012654359318951064,0.021458098704218893,206,206,0,0,1,487
0.025,65,710,0.010801961853498673,0.012134621055847353,0.021496976531596282,198,201,3,3,2,524
0.025,66,746,0.011942892148377418,0.013246532754906448,0.023255321971540226,263,269,6,6,2,630
0.025,67,647,0.01062739007695007,0.011976815573550587,0.021496976531596254,208,215,7,7,2,482
0.025,68,697,0.010353826282914454,0.011603623339519935,0.0214580987042189,195,209,14,14,2,535
0.025,69,692,0.010829262601508686,0.012109466392066073,0.022118770309400123,190,191,1,1,2,514
0.025,70,771,0.010154123804433602,0.011432956889735123,0.021465087933665687,208,218,10,10,2,632
0.025,71,691,0.011245337006097117,0.012539435333974752,0.021496976531596254,245,251,6,6,2,553
0.025,72,667,0.011026874622013166,0.012365010241033743,0.021496976531596282,232,239,7,7,2,561
0.025,73,665,0.010436626691250728,0.011830512989468573,0.023255321971540226,208,214,6,6,2,553
0.025,74,755,0.0110146012650574,0.01230840879855384,0.02211877030940016,232,236,4,4,2,608
0.025,75,637,0.010655411424329492,0.0119828265391823,0.021242410409367408,188,189,1,1,2,495
0.025,76,518,0.011194703821718525,0.012551134791563055,0.0214580987042189,203,203,0,0,1,446
0.025,77,597,0.010735971489031191,0.012123563998268017,0.0214580987042189,205,206,1,1,2,504
0.025,78,654,0.010447518694155843,0.011788979848636584,0.022118770309400123,205,207,2,2,2,531
0.025,79,624,0.01117741152085269,0.012571632571500818,0.02211877030940016,225,225,0,0,1,483
0.025,80,569,0.011722681756098778,0.013037589294886685,0.022406918574404626,203,203,0,0,1,491
0.025,81,562,0.010418632412387876,0.011860326671489625,0.022406918574404626,181,181,0,0,1,487
0.025,82,690,0.011468954402591635,0.012794429267843676,0.023255321971540226,271,272,1,1,2,586
0.025,83,641,0.010383230164695435,0.011700470009360201,0.022118770309400123,197,198,1,1,2,490
0.025,84,629,0.01060974274028574,0.011951288254326254,0.02211877030940011,201,212,11,9,3,487
0.025,85,663,0.010636468710182272,0.012002195626183161,0.0214580987042189,218,221,3,3,2,511
0.025,86,525,0.010234214596961246,0.01165049518669649,0.023255321971540205,166,172,6,6,2,431
0.025,87,610,0.010867310078970904,0.012228764129344687,0.022483549541831745,203,208,5,5,2,495
0.025,88,730,0.010344058646054533,0.01166937157162767,0.021458098704218893,233,244,11,10,3,610
0.025,89,699,0.010201840752874888,0.01143897911548831,0.021242410409367397,197,197,0,0,1,543
