model,decision,threshold,actual_update_q1,actual_update_median,actual_update_mean,actual_update_q3,interval_trigger_fraction,fallback_fraction
33,5,13,3.0,3.0,3.8375,4.0,0.9375,0.0625
33,6,14,3.0,4.0,4.1125,4.0,0.9375,0.0625
33,7,15,3.0,4.0,4.4,5.0,0.9375,0.0625
33,8,16,4.0,4.5,4.975,5.0,0.9,0.1
33,9,18,5.0,5.0,5.9,6.0,0.8875,0.1125
33,10,19,10.0,10.0,10.0,10.0,0.0,1.0
34,1,3,1.0,1.0,1.0,1.0,1.0,0.0
34,2,6,1.0,1.0,1.5714285714285714,2.0,0.9857142857142858,0.014285714285714285
34,3,9,2.0,2.0,2.3714285714285714,2.0,0.9714285714285714,0.02857142857142857
34,4,12,3.0,3.0,3.4,3.0,0.9428571428571428,0.05714285714285714
34,5,13,3.0,3.0,3.8714285714285714,4.0,0.9142857142857143,0.08571428571428572
34,6,14,3.0,4.0,4.1571428571428575,4.0,0.9142857142857143,0.08571428571428572
34,7,15,4.0,4.0,4.571428571428571,5.0,0.9142857142857143,0.08571428571428572
34,8,17,5.0,5.0,5.757142857142857,6.0,0.8714285714285714,0.12857142857142856
34,9,18,5.0,6.0,6.442857142857143,7.0,0.8428571428571429,0.15714285714285714
34,10,19,10.0,10.0,10.0,10.0,0.0,1.0
35,1,3,1.0,1.0,1.0,1.0,1.0,0.0
35,2,5,1.0,1.0,1.5135135135135136,2.0,0.972972972972973,0.02702702702702703
35,3,6,1.0,2.0,1.8918918918918919,2.0,0.972972972972973,0.02702702702702703
35,4,9,2.0,2.0,2.824324324324324,3.0,0.9324324324324325,0.06756756756756757
35,5,11,3.0,3.0,3.7027027027027026,3.0,0.8918918918918919,0.10810810810810811
35,6,13,3.0,4.0,4.5,4.0,0.8648648648648649,0.13513513513513514
35,7,14,4.0,4.0,4.945945945945946,5.0,0.8648648648648649,0.13513513513513514
35,8,16,5.0,5.5,6.3108108108108105,7.0,0.7837837837837838,0.21621621621621623
35,9,17,5.0,6.0,6.837837837837838,8.0,0.7837837837837838,0.21621621621621623
35,10,19,10.0,10.0,10.0,10.0,0.0,1.0
36,1,3,1.0,1.0,1.0,1.0,1.0,0.0
36,2,9,2.0,2.0,2.4285714285714284,2.0,0.9714285714285714,0.02857142857142857
36,3,10,2.0,2.0,2.742857142857143,3.0,0.9571428571428572,0.04285714285714286
36,4,12,3.0,3.0,3.3285714285714287,3.0,0.9571428571428572,0.04285714285714286
36,5,13,3.0,3.0,3.9571428571428573,4.0,0.9142857142857143,0.08571428571428572
36,6,15,4.0,4.0,4.614285714285714,5.0,0.9142857142857143,0.08571428571428572
36,7,16,4.0,5.0,5.257142857142857,5.0,0.8714285714285714,0.12857142857142856
36,8,17,5.0,5.0,5.714285714285714,6.0,0.8714285714285714,0.12857142857142856
36,9,18,5.0,6.0,6.3428571428571425,7.0,0.8571428571428571,0.14285714285714285
36,10,19,10.0,10.0,10.0,10.0,0.0,1.0
37,1,3,1.0,1.0,1.0,1.0,1.0,0.0
37,2,6,1.0,1.0,1.5671641791044777,2.0,0.9850746268656716,0.014925373134328358
37,3,8,2.0,2.0,2.4328358208955225,2.0,0.9552238805970149,0.04477611940298507
37,4,10,2.0,2.0,2.8955223880597014,3.0,0.9253731343283582,0.07462686567164178
37,5,12,3.0,3.0,3.4477611940298507,3.0,0.9253731343283582,0.07462686567164178
37,6,14,3.0,3.0,4.253731343283582,4.0,0.8805970149253731,0.11940298507462686
37,7,15,3.0,4.0,4.582089552238806,5.0,0.8805970149253731,0.11940298507462686
37,8,17,4.0,5.0,5.656716417910448,6.0,0.835820895522388,0.16417910447761194
37,9,18,5.0,6.0,6.298507462686567,7.0,0.8059701492537313,0.19402985074626866
37,10,19,10.0,10.0,10.0,10.0,0.0,1.0
38,1,3,1.0,1.0,1.0,1.0,1.0,0.0
38,2,5,1.0,1.0,1.457142857142857,1.0,0.9714285714285714,0.02857142857142857
38,3,8,2.0,2.0,2.6857142857142855,2.0,0.9285714285714286,0.07142857142857142
38,4,9,2.0,2.0,2.842857142857143,3.0,0.9285714285714286,0.07142857142857142
38,5,11,3.0,3.0,3.7,3.0,0.8857142857142857,0.11428571428571428
38,6,13,3.0,3.0,4.4714285714285715,4.0,0.8428571428571429,0.15714285714285714
38,7,15,4.0,4.0,5.085714285714285,5.0,0.8428571428571429,0.15714285714285714
38,8,16,4.0,5.0,5.642857142857143,6.0,0.8142857142857143,0.18571428571428572
38,9,18,5.0,6.0,6.728571428571429,8.0,0.8,0.2
38,10,19,10.0,10.0,10.0,10.0,0.0,1.0
39,1,3,1.0,1.0,1.0,1.0,1.0,0.0
39,2,5,1.0,1.0,1.537037037037037,1.0,0.9629629629629629,0.037037037037037035
39,3,8,2.0,2.0,2.6666666666666665,2.0,0.9259259259259259,0.07407407407407407
39,4,9,2.0,2.0,2.8703703703703702,3.0,0.9259259259259259,0.07407407407407407
39,5,12,3.0,3.0,4.0,4.0,0.8888888888888888,0.1111111111111111
39,6,13,3.0,4.0,4.574074074074074,4.0,0.8518518518518519,0.14814814814814814
39,7,15,4.0,5.0,5.407407407407407,5.0,0.8518518518518519,0.14814814814814814
39,8,16,5.0,5.0,6.2592592592592595,6.75,0.7777777777777778,0.2222222222222222
39,9,18,6.0,7.0,7.685185185185185,10.0,0.6666666666666666,0.3333333333333333
39,10,19,10.0,10.0,10.0,10.0,0.0,1.0
40,1,3,1.0,1.0,1.0,1.0,1.0,0.0
40,2,6,1.0,1.5,1.6481481481481481,2.0,0.9814814814814815,0.018518518518518517
40,3,9,2.0,2.0,2.611111111111111,3.0,0.9629629629629629,0.037037037037037035
40,4,10,2.0,2.0,2.9814814814814814,3.0,0.9259259259259259,0.07407407407407407
40,5,11,2.0,3.0,3.3518518518518516,3.0,0.9259259259259259,0.07407407407407407
40,6,13,3.0,4.0,4.351851851851852,4.0,0.8703703703703703,0.12962962962962962
40,7,15,4.0,4.0,5.055555555555555,5.0,0.8703703703703703,0.12962962962962962
