x,y,xhat,yhat,belief_id,uncertainty
0,5,3,3,64,1650
2,4,3,3,64,1650
1,3,3,3,64,1650
1,5,3,3,64,1650
0,2,3,3,64,1650
0,6,3,3,64,1650
4,4,3,3,64,1650
3,3,3,3,64,1650
3,5,3,3,64,1650
2,2,3,3,64,1650
2,6,3,3,64,1650
1,1,3,3,64,1650
1,7,3,3,64,1650
0,6,2,6,21,588
2,6,2,6,21,588
1,5,2,6,21,588
1,7,2,6,21,588
1,7,1,7,0,0
1,8,4,5,50,4116
0,3,4,4,65,2576
1,3,4,4,65,2576
0,2,4,4,65,2576
0,4,4,4,65,2576
2,3,4,4,65,2576
1,2,4,4,65,2576
1,4,4,4,65,2576
0,1,4,4,65,2576
0,5,4,4,65,2576
3,3,4,4,65,2576
2,2,4,4,65,2576
2,4,4,4,65,2576
1,1,4,4,65,2576
1,5,4,4,65,2576
0,0,4,4,65,2576
0,6,4,4,65,2576
4,3,4,4,65,2576
3,2,4,4,65,2576
3,4,4,4,65,2576
2,1,4,4,65,2576
2,5,4,4,65,2576
1,0,4,4,65,2576
1,6,4,4,65,2576
0,7,4,4,65,2576
5,3,4,4,65,2576
4,2,4,4,65,2576
4,4,4,4,65,2576
3,1,4,4,65,2576
3,5,4,4,65,2576
2,0,4,4,65,2576
2,6,4,4,65,2576
1,7,4,4,65,2576
0,8,4,4,65,2576
0,4,3,3,66,2135
1,4,3,3,66,2135
0,3,3,3,66,2135
0,5,3,3,66,2135
2,4,3,3,66,2135
1,3,3,3,66,2135
1,5,3,3,66,2135
0,2,3,3,66,2135
0,6,3,3,66,2135
3,4,3,3,66,2135
2,3,3,3,66,2135
2,5,3,3,66,2135
1,2,3,3,66,2135
1,6,3,3,66,2135
0,1,3,3,66,2135
0,7,3,3,66,2135
4,4,3,3,66,2135
3,3,3,3,66,2135
3,5,3,3,66,2135
2,2,3,3,66,2135
2,6,3,3,66,2135
1,1,3,3,66,2135
1,7,3,3,66,2135
0,0,3,3,66,2135
0,8,3,3,66,2135
0,8,0,8,0,0
0,9,4,5,50,4116
0,0,4,6,67,4438
1,0,4,6,67,4438
0,1,4,6,67,4438
2,0,4,6,67,4438
1,1,4,6,67,4438
0,2,4,6,67,4438
3,0,4,6,67,4438
2,1,4,6,67,4438
1,2,4,6,67,4438
0,3,4,6,67,4438
4,0,4,6,67,4438
3,1,4,6,67,4438
2,2,4,6,67,4438
1,3,4,6,67,4438
0,4,4,6,67,4438
