h,map,raw_sigma_states,quantized_sigma_states,gvar_max,reduction_absolute,reduction_percent,mean_frobenius_error,rmse_frobenius_error,max_frobenius_error,weighted_mean_frobenius_error,weighted_rmse_frobenius_error
0.025,20,395,311,310,84,21.265822784810126,0.013565865576278303,0.014220468400126186,0.022652152215628392,0.011699777882489921,0.012993424427032843
0.025,21,364,295,294,69,18.956043956043956,0.013175894183539245,0.013770962043531875,0.021951993075800702,0.01082932432400941,0.012065154584385514
0.025,22,647,481,480,166,25.656877897990725,0.013573438867121706,0.014204391205569697,0.022652152215628392,0.012233483815828769,0.013301575255853671
0.025,23,453,368,367,85,18.763796909492275,0.013220522517804909,0.013881772157545151,0.022406918574404657,0.011245291483551984,0.012465118428571297
0.025,24,530,389,388,141,26.60377358490566,0.013585533848756357,0.014259527103222855,0.023043437243605833,0.011589061022703784,0.01277867634531357
0.025,25,433,351,350,82,18.937644341801384,0.014263713490240217,0.014961818225701643,0.023143465600467025,0.012102351523323411,0.013403886317004048
0.025,26,347,271,270,76,21.902017291066283,0.013330269480104153,0.013954153007873574,0.021458098704218883,0.010937630066550094,0.01225206970765397
0.025,27,513,389,388,124,24.171539961013647,0.01362521874992725,0.014309471501731619,0.023255321971540177,0.011693255079014461,0.012917154067297959
0.025,28,318,256,255,62,19.49685534591195,0.012981730536387017,0.013727901624751978,0.021242410409367394,0.010583190606671719,0.011813207121692227
0.025,29,412,318,317,94,22.815533980582526,0.013336519066668854,0.0140019294786902,0.023917357713593726,0.011630382989619015,0.012803201624241724
0.025,30,425,348,347,77,18.11764705882353,0.013291826657046667,0.014010402017996568,0.02345399752707415,0.011640411857727621,0.012855987913561712
0.025,31,400,319,318,81,20.25,0.012741381196735822,0.013451953389749754,0.023043437243605833,0.0106804815836954,0.011840484355272038
0.025,32,476,388,387,88,18.48739495798319,0.013362797945944136,0.013966776304363673,0.02211877030940013,0.011411129542156201,0.012588599223478235
0.025,33,585,392,391,193,32.99145299145299,0.013310580458334017,0.013969534617727873,0.022459964381093763,0.01135760085898509,0.012482040059293664
0.025,34,434,331,330,103,23.732718894009217,0.012980442959257696,0.013680654207280096,0.021536248512682064,0.010887606572624475,0.01211071408854974
0.025,35,525,394,393,131,24.952380952380953,0.013698644099117837,0.014303828325378652,0.022652152215628392,0.012354429038433068,0.013450689650432926
0.025,36,445,336,335,109,24.49438202247191,0.013336773320799857,0.014018547906015753,0.02341623368520222,0.011399808486194799,0.012576484401678417
0.025,37,364,281,280,83,22.802197802197803,0.013529249292940918,0.014304771354918028,0.022459964381093763,0.011093483545465046,0.012411736740689756
0.025,38,507,374,373,133,26.232741617357004,0.013532092051540707,0.014210142362292066,0.022406918574404657,0.011840986057762126,0.013008264617046635
0.025,39,368,282,281,86,23.369565217391305,0.013441106564707716,0.013993391297323174,0.022121708794756386,0.011541415023677061,0.012765769809801273
0.025,40,392,297,296,95,24.23469387755102,0.013205560171511182,0.013866982883299248,0.021652251615016833,0.011275001107143023,0.012440703159422485
