age,xhat,yhat,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
8,9,5,8,8,4,0.61174050876899,0.07748690855849336,0.47833565506740844,0.6990972658677488,0.22076161080034035,0.75
8,9,6,9,9,4,0.6259463845761601,0.05970015677437357,0.49711752441334034,0.6991050825594486,0.20198755814610825,0.4444444444444444
8,9,7,6,6,2,0.6295546734227079,0.03501523840971651,0.5646509900800344,0.6745231329970359,0.10987214291700154,0.16666666666666663
8,9,8,3,3,2,0.6271016938881182,0.02562061508948925,0.5923745205752704,0.6534174563482348,0.06104293577296438,0.33333333333333337
8,9,9,6,6,3,0.5767175826693647,0.036802572795521765,0.5299843903461589,0.6192979012006014,0.0893135108544425,0.5
9,5,0,3,3,2,0.6198551346363175,0.014410004878596581,0.6031183996737365,0.6382924463520352,0.03517404667829871,0.33333333333333337
9,6,0,2,2,1,0.6347027995455392,0.010018327453670983,0.6246844720918683,0.6447211269992102,0.020036654907341966,0.0
9,6,5,2,2,1,0.7343971318212237,0.002029673951639943,0.7323674578695837,0.7364268057728636,0.004059347903279886,0.0
9,7,2,2,2,1,0.665216779950601,0.01183896559064884,0.6533778143599522,0.6770557455412499,0.023677931181297684,0.0
9,7,3,2,2,1,0.6769608307821942,0.005401202528244553,0.6715596282539497,0.6823620333104388,0.010802405056489106,0.0
9,7,4,2,2,1,0.6761839270946364,0.0080971823946559,0.6680867446999804,0.6842811094892922,0.0161943647893118,0.0
9,7,5,3,3,3,0.7167722237097921,0.04046396859654698,0.6831286671256886,0.7736824349613981,0.09055376783570945,0.6666666666666667
9,8,5,3,3,2,0.7561259788227465,0.03694980732004036,0.7043499141958158,0.7881264362108518,0.08377652201503594,0.33333333333333337
9,9,5,4,4,3,0.6918666628195211,0.11146267052858125,0.5163741638030697,0.8008831435270217,0.28450897972395206,0.5
9,9,6,8,8,4,0.6908937440588832,0.07507736962902722,0.5555949952689883,0.7742843439527463,0.218689348683758,0.5
9,9,7,9,9,4,0.7050890386957884,0.055959235865607866,0.5808000236625626,0.7741408989325568,0.19334087526999422,0.33333333333333337
9,9,8,6,6,2,0.7009379574239095,0.04659807715109538,0.6232943768502174,0.7488955611215491,0.1256011842713317,0.33333333333333337
9,9,9,3,3,2,0.6715405268736808,0.04284109522992394,0.6117465384849798,0.7098961483312484,0.09814960984626853,0.33333333333333337
10,6,0,3,3,2,0.7006939072003967,0.016718267964755586,0.6810029213701773,0.7218729579588155,0.04087003658863819,0.33333333333333337
10,6,1,2,2,1,0.6758181733793251,0.009108982074906347,0.6667091913044187,0.6849271554542314,0.018217964149812693,0.0
10,7,3,2,2,1,0.7442631904245723,0.010688274065168923,0.7335749163594034,0.7549514644897413,0.021376548130337847,0.0
10,7,4,2,2,1,0.760559670217287,0.006567468151523648,0.7539922020657633,0.7671271383688106,0.013134936303047295,0.0
10,7,5,4,4,2,0.7970268656635545,0.035326449345132106,0.7520777592768072,0.8347119035705495,0.08263414429374227,0.25
10,8,5,3,3,1,0.8083183592296876,0.04551051103907117,0.7689977465244886,0.8721060605305722,0.10310831400608356,0.0
10,9,5,3,3,2,0.8277622917046116,0.051154928349387035,0.7567019616139721,0.8750424421628328,0.1183404805488607,0.33333333333333337
10,9,6,4,4,3,0.769472672811319,0.10567478096443225,0.6009282474703015,0.8763067929713523,0.2753785455010508,0.5
10,9,7,8,8,3,0.7726715936233406,0.07302061900379929,0.6344667770397759,0.8525925069154027,0.21812572987562673,0.375
10,9,8,9,9,3,0.7766457702739918,0.05612166226139225,0.6663332802797353,0.847306462109395,0.1809731818296597,0.33333333333333337
10,9,9,6,6,3,0.7476964030411929,0.06488276167222996,0.6156601276195729,0.802868353722165,0.18720822610259213,0.33333333333333337
