model,threshold,total_starts,actual_update_min,actual_update_q1,actual_update_median,actual_update_mean,actual_update_q3,actual_update_max,actual_update_stddev,interval_trigger_count,fallback_count,interval_trigger_fraction,fallback_fraction
13,11,72,2,2.75,3.0,3.2916666666666665,3.0,10,1.90348729675007,67,5,0.9305555555555556,0.06944444444444445
13,12,72,2,3.0,3.0,3.5555555555555554,3.0,10,1.8248964117396491,67,5,0.9305555555555556,0.06944444444444445
13,13,72,3,3.0,3.0,4.111111111111111,4.0,10,2.1314806770278754,64,8,0.8888888888888888,0.1111111111111111
13,14,72,3,3.0,4.0,4.5,4.0,10,2.034425935955617,64,8,0.8888888888888888,0.1111111111111111
13,15,72,3,4.0,4.0,4.902777777777778,5.0,10,2.0423279352400114,63,9,0.875,0.125
13,16,72,3,4.0,5.0,5.638888888888889,6.0,10,2.0969922611230296,60,12,0.8333333333333334,0.16666666666666666
13,17,72,3,5.0,6.0,6.208333333333333,7.0,10,1.9786183450972943,59,13,0.8194444444444444,0.18055555555555555
13,18,72,4,5.0,6.0,6.833333333333333,8.0,10,1.8633899812498247,57,15,0.7916666666666666,0.20833333333333334
13,19,72,10,10.0,10.0,10.0,10.0,10,0.0,0,72,0.0,1.0
14,1,74,1,1.0,1.0,1.0,1.0,1,0.0,74,0,1.0,0.0
14,2,74,1,1.0,1.0,1.0,1.0,1,0.0,74,0,1.0,0.0
14,3,74,1,1.0,1.0,1.0,1.0,1,0.0,74,0,1.0,0.0
14,4,74,1,1.0,1.0,1.2567567567567568,1.0,10,1.4617724414430773,72,2,0.972972972972973,0.02702702702702703
14,5,74,1,1.0,1.0,1.445945945945946,1.0,10,1.4808862566673606,72,2,0.972972972972973,0.02702702702702703
14,6,74,1,1.0,2.0,1.8108108108108107,2.0,10,1.4489108274248876,72,2,0.972972972972973,0.02702702702702703
14,7,74,2,2.0,2.0,2.3378378378378377,2.0,10,1.5792319979765996,71,3,0.9594594594594594,0.04054054054054054
14,8,74,2,2.0,2.0,2.391891891891892,2.0,10,1.5838506581213885,71,3,0.9594594594594594,0.04054054054054054
14,9,74,2,2.0,2.0,2.5405405405405403,2.75,10,1.5870181898273727,71,3,0.9594594594594594,0.04054054054054054
14,10,74,2,2.0,3.0,3.0135135135135136,3.0,10,1.9486186600383917,69,5,0.9324324324324325,0.06756756756756757
14,11,74,2,3.0,3.0,3.3378378378378377,3.0,10,1.861973865661421,69,5,0.9324324324324325,0.06756756756756757
14,12,74,2,3.0,3.0,3.5135135135135136,3.0,10,1.810205626988146,69,5,0.9324324324324325,0.06756756756756757
14,13,74,3,3.0,3.0,4.04054054054054,4.0,10,1.9894260287912542,67,7,0.9054054054054054,0.0945945945945946
14,14,74,3,4.0,4.0,4.472972972972973,4.0,10,1.8832330809295428,67,7,0.9054054054054054,0.0945945945945946
14,15,74,3,4.0,4.0,4.986486486486487,5.0,10,1.8779894600288753,66,8,0.8918918918918919,0.10810810810810811
14,16,74,3,4.0,5.0,5.554054054054054,6.0,10,1.846412825291918,65,9,0.8783783783783784,0.12162162162162163
14,17,74,4,5.0,6.0,6.22972972972973,7.0,10,1.696955121301308,64,10,0.8648648648648649,0.13513513513513514
14,18,74,5,6.0,7.0,6.9324324324324325,7.0,10,1.6302137240175487,61,13,0.8243243243243243,0.17567567567567569
