model,group,actual_update_median,actual_update_q3,mean_fallback_fraction,minimum_fallback_fraction,maximum_fallback_fraction,fallback_tolerance,thresholds,minimum_threshold,maximum_threshold
18,9,5.0,6.0,0.1506849315068493,0.1506849315068493,0.1506849315068493,0.02,17,17,17
18,10,6.0,7.0,0.1780821917808219,0.1780821917808219,0.1780821917808219,0.02,18,18,18
18,11,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
19,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
19,2,1.0,1.0,0.029850746268656716,0.029850746268656716,0.029850746268656716,0.02,"4,5",4,5
19,3,2.0,2.0,0.029850746268656716,0.029850746268656716,0.029850746268656716,0.02,6,6,6
19,4,2.0,2.0,0.05970149253731343,0.05970149253731343,0.05970149253731343,0.02,"7,8",7,8
19,5,2.0,3.0,0.05970149253731343,0.05970149253731343,0.05970149253731343,0.02,9,9,9
19,6,3.0,3.0,0.08955223880597014,0.08955223880597014,0.08955223880597014,0.02,"10,11",10,11
19,7,3.0,4.0,0.08955223880597014,0.08955223880597014,0.08955223880597014,0.02,12,12,12
19,8,4.0,4.0,0.11940298507462686,0.11940298507462686,0.11940298507462686,0.02,13,13,13
19,9,4.0,5.0,0.11940298507462686,0.11940298507462686,0.11940298507462686,0.02,"14,15",14,15
19,10,5.0,6.0,0.16417910447761194,0.16417910447761194,0.16417910447761194,0.02,"16,17",16,17
19,11,6.0,7.0,0.19402985074626866,0.19402985074626866,0.19402985074626866,0.02,18,18,18
19,12,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
20,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
20,2,1.0,1.0,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02,"4,5",4,5
20,3,2.0,2.0,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02,6,6,6
20,4,2.0,2.0,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.02,"7,8",7,8
20,5,2.0,3.0,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.02,9,9,9
